developer,cluster,archetype,dbscan_outlier,commits,prs_opened,prs_merged,reviews_given,issues_opened,issues_closed,active_hours
adrianmoisey,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
adrianreber,0,Silent Stalker,False,0.0,0.0,0.0,2.0,0.0,0.0,2.0
aerosouund,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
aeroyorch,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ahrtr,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ahshahid,0,Silent Stalker,False,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0
ajaysundark,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
aknuds1,0,Silent Stalker,False,1.05,0.5,0.0,1.7,0.1,0.05,1.9
allisonwang-db,0,Silent Stalker,False,0.0,0.0,0.0,1.7272727272727273,0.0,0.0,1.3636363636363635
aman4433,0,Silent Stalker,False,0.0,1.0,0.0,0.0,1.0,0.0,1.0
amanmishra7ave,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
amigo-nishant,0,Silent Stalker,False,0.0,0.0,0.0,1.0,0.5,0.0,1.5
aminshahid573,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
amoghrajesh,0,Silent Stalker,False,0.8214285714285714,0.42857142857142855,0.0,3.357142857142857,0.07142857142857142,0.10714285714285714,3.0357142857142856
anavrotski,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
anchovYu,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
anderson-fachini,0,Silent Stalker,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
andrew749,0,Silent Stalker,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
ania-borowiec,0,Silent Stalker,False,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.3333333333333333
